2001-02 Vanguard Premiere Date #25 Milan Hejduk,0,0,0,1,9
2002-03 BAP Memorabilia Ruby #149 Milan Hejduk,0,0,0,1,2.25
2002-03 BAP Memorabilia Sapphire #149 Milan Hejduk,0,0,0,1,5.4
2002-03 Bowman YoungStars Gold #46 Milan Hejduk,0,0,0,1,1.35
2002-03 Pacific Calder Silver #33 Milan Hejduk,0,0,0,1,1.125
2002-03 Pacific Exclusive Jerseys #5 Milan Hejduk,0,1,0,0,10.8
2002-03 Parkhurst Jerseys #GJ16 Milan Hejduk,0,1,0,0,12
2002-03 Stadium Club Champions Fabric #FC5 Milan Hejduk,0,1,0,0,3
2002-03 UD Premier Collection Jerseys Bronze #MH Milan Hejduk,0,1,0,1,5.975
2002-03 UD Top Shelf Signatures #MH Milan Hejduk,0,0,1,0,13.5
2002-03 Upper Deck Rookie Update Jerseys Gold #DMH Milan Hejduk,0,1,0,1,7.5
2003-04 BAP Memorabilia Jerseys #GJ9 Milan Hejduk,0,1,0,0,8.85
2003-04 BAP Memorabilia Ruby #59 Milan Hejduk,0,0,0,1,1.47
2003-04 Bowman Chrome Refractors #110 Milan Hejduk,0,0,0,1,3
2003-04 Crown Royale Blue #24 Milan Hejduk,0,0,0,1,1.875
2003-04 ITG Used Signature Series Autographs #MHE Milan Hejduk,0,0,1,0,15
2003-04 O-Pee-Chee Blue #272 Milan Hejduk,0,0,0,1,1.47
2003-04 Pacific Blue #84 Milan Hejduk,0,0,0,1,1.125
2003-04 Pacific Calder #146 Milan Hejduk JSY,0,1,0,1,4.5
2003-04 Pacific Calder Silver #23 Milan Hejduk,0,0,0,1,1.25
2003-04 Pacific Exhibit Blue Backs #37 Milan Hejduk,0,0,0,1,1
2003-04 Pacific Invincible Blue #22 Milan Hejduk,0,0,0,1,2
2003-04 Pacific Invincible Red #22 Milan Hejduk,0,0,0,1,1.65
2003-04 Pacific Prism #109 Milan Hejduk JSY/1183,0,1,0,1,5
2003-04 Pacific Prism Blue #109 Milan Hejduk JSY,0,1,0,1,8.175
2003-04 Pacific Prism Red #109 Milan Hejduk JSY,0,1,0,1,10.5
2003-04 Pacific Prism Retail Jerseys #109 Milan Hejduk,0,1,0,1,7.08
2003-04 Pacific Quest for the Cup Blue #24 Milan Hejduk,0,0,0,1,2.2
2003-04 Private Stock Reserve #155 Milan Hejduk JSY,0,1,0,1,6.8
2003-04 SP Game Used #106 Milan Hejduk JSY,0,1,0,0,7
2003-04 Titanium #148 Milan Hejduk JSY,0,1,0,1,7.2
2003-04 Topps C55 Relics #TRMHE Milan Hejduk D,0,1,0,0,8.4
2003-04 Topps Pristine Autographs #PEMH Milan Hejduk A,0,0,1,0,8.92
2003-04 Topps Pristine Jersey Portions #PPJMHE Milan Hejduk A,0,1,0,0,8.7
2003-04 UD Premier Collection Stars Jerseys #STMH Milan Hejduk,0,1,0,1,3.92
2003-04 Upper Deck Ice Clear Cut Winners #CCMH Milan Hejduk,0,1,0,0,10.5
2003-04 Upper Deck Rookie Update Super Stars #SSHJK Milan Hejduk,0,1,0,1,4.9
2003-04 Upper Deck Team Essentials #TSMH Milan Hejduk,0,1,0,0,18
2004-05 Pacific Blue #67 Milan Hejduk,0,0,0,1,1.75
2004-05 SP Authentic Sign of the Times #STMH Milan Hejduk,0,0,1,0,14.6
2004-05 Ultimate Collection #67 Milan Hejduk WC,0,0,0,1,1.495
2004-05 Ultimate Collection Jerseys Gold #UGJHE Milan Hejduk,0,1,0,1,9.95
2005-06 Artifacts #160 Milan Hejduk AS,0,0,0,1,1.32
2005-06 Artifacts Autofacts Silver #AFHE Milan Hejduk,0,0,1,1,9
2005-06 Artifacts Blue #27 Milan Hejduk,0,0,0,1,1.5
2005-06 Artifacts Blue #160 Milan Hejduk,0,0,0,1,3.495
2005-06 Artifacts Green #27 Milan Hejduk,0,0,0,1,4.8
2005-06 Artifacts Pewter #160 Milan Hejduk,0,0,0,1,3.6
2005-06 Artifacts Treasured Swatches #TSMH Milan Hejduk,0,1,0,1,3.5
2005-06 Artifacts Treasured Swatches Copper #TSMH Milan Hejduk,0,1,0,1,6
2005-06 Artifacts Treasured Swatches Dual Copper #TSDMH Milan Hejduk,0,1,0,1,6
2005-06 Be A Player First Period #21 Milan Hejduk,0,0,0,1,8.25
2005-06 Beehive Matted Materials #MMHJ Milan Hejduk,0,1,0,0,14.5
2005-06 Black Diamond Jerseys #JMH Milan Hejduk,0,1,0,0,5.6
2005-06 Parkhurst Facsimile Auto Parallel #122 Milan Hejduk,0,0,0,1,9.75
2005-06 SP Game Used Authentic Fabrics #AFHJ Milan Hejduk,0,1,0,0,5.6
2005-06 SP Game Used Authentic Fabrics Gold #AFHJ Milan Hejduk,0,1,0,1,6
2005-06 SP Game Used Authentic Fabrics Patches #APHJ Milan Hejduk,0,1,0,1,21.25
2005-06 SPx Winning Materials #WMMH Milan Hejduk,0,1,0,1,7
2005-06 SPx Xcitement Superstars #XSHK Milan Hejduk,0,0,0,1,2.2
2005-06 The Cup #30 Milan Hejduk,0,0,0,1,4.8
2005-06 The Cup Emblems of Endorsement #EEMH Milan Hejduk,0,1,1,1,99.95
2005-06 Ultimate Collection #26 Milan Hejduk,0,0,0,1,4.8
2005-06 Ultimate Collection Jerseys #JMH Milan Hejduk,0,1,0,1,4
2005-06 Ultimate Collection Ultimate Signatures #USMH Milan Hejduk,0,0,1,0,5.4
2005-06 Ultra Scoring Kings Jerseys #SKJMH Milan Hejduk,0,1,0,0,2.6
2005-06 Upper Deck Ice Cool Threads #CTMH Milan Hejduk,0,1,0,0,2.9
2005-06 Upper Deck Ice Cool Threads Glass #CTMH Milan Hejduk,0,1,0,1,2
2005-06 Upper Deck Jerseys #JMHE Milan Hejduk,0,1,0,0,4.2
2005-06 Upper Deck Jerseys Series II #J2HJ Milan Hejduk,0,1,0,0,7.2
2005-06 Upper Deck Power Play Specialists Jerseys #TSMH Milan Hejduk,0,1,0,0,5.36
2005-06 Upper Deck Rookie Update #237 Tomas Fleischmann JSY RC/Milan Hejduk JSY,1,1,0,1,21.3
2005-06 Upper Deck Shooting Stars Jerseys #SMH Milan Hejduk,0,1,0,0,5.6
2005-06 Upper Deck Trilogy Honorary Swatches #HSMH Milan Hejduk,0,1,0,0,9.84
2005-06 Upper Deck Trilogy Ice Scripts #ISMH Milan Hejduk,0,0,1,0,16.44
2006-07 Artifacts Bronze #75 Milan Hejduk,0,0,0,1,4.9
2006-07 Artifacts Tundra Tandems Red #TTHS Milan Hejduk/Marek Svatos,0,1,0,1,8
2006-07 Black Diamond Jerseys #JHE Milan Hejduk,0,1,0,0,2.4
2006-07 Flair Showcase Inks #IHJ Milan Hejduk,0,0,1,1,4
2006-07 Flair Showcase Parallel #27 Milan Hejduk,0,0,0,1,5.1
2006-07 Upper Deck Exclusives #49 Milan Hejduk,0,0,0,1,6
2006-07 Upper Deck Game Jerseys #JHE Milan Hejduk,0,1,0,0,7.35
2006-07 Upper Deck MVP Jerseys #OJHH Milan Hejduk/Ales Hemsky,0,1,0,0,9
2006-07 Upper Deck Trilogy Honorary Swatches #HSMH Milan Hejduk,0,1,0,0,8.475
2006-07 Upper Deck Trilogy Ice Scripts #ISMH Milan Hejduk,0,0,1,0,11.25
2007-08 Artifacts Tundra Tandems Metallic Purple #TTHS Milan Hejduk/Marek Svatos,0,1,0,0,6
2007-08 Be A Player Player's Club #51 Milan Hejduk,0,0,0,1,2.395
2008-09 OPC Premier Penmanship #PPMH Milan Hejduk,0,0,1,1,11.16
2008-09 SPx Winning Combos #WCHB Milan Hejduk/Peter Budaj,0,1,0,0,4.45
2008-09 Ultra Ice Medallion #127 Milan Hejduk,0,0,0,1,5.4
2008-09 Upper Deck MVP Super Script #76 Milan Hejduk,0,0,0,1,5
2008-09 Upper Deck MVP Two on Two Jerseys #J2SHSW Joe Sakic/Milan Hejduk/Wojtek Wolski/Ryan Smyth,0,1,0,0,33
2008-09 Upper Deck MVP Two on Two Jerseys #J2SKHG Marian Gaborik/Mikko Koivu/Joe Sakic/Milan Hejduk,0,1,0,0,12.375
2008-09 Upper Deck Trilogy Scripted Swatches Third Star #3RDHE Milan Hejduk,0,1,1,1,12
2008-09 Upper Deck Trilogy Superstar Scripts #SSMH Milan Hejduk,0,0,1,0,8.625
2009-10 Artifacts Silver #84 Milan Hejduk,0,0,0,1,3.7
2009-10 Be A Player Signatures #SHE Milan Hejduk,0,0,1,0,7.95
2009-10 Be A Player Signatures Duals #S2HS Milan Hejduk/Paul Stastny,0,0,1,0,8.005
2009-10 Be A Player Signatures Trios #S3HWS Paul Stastny/Wojtek Wolski/Milan Hejduk,0,0,1,0,11.85
2009-10 O-Pee-Chee Retro Rainbow #101 Milan Hejduk,0,0,0,1,7.2
2009-10 Ultra Ice Medallion #39 Milan Hejduk,0,0,0,1,4.5
2009-10 Upper Deck MVP Two on Two Jerseys #JHBKS Mikko Koivu/Pierre-Marc Bouchard/Milan Hejduk/Paul Stastny,0,1,0,0,10.35
2010-11 Donruss Press Proofs #220 Milan Hejduk,0,0,0,1,5.4
2010-11 Limited #121 Milan Hejduk,0,0,0,1,1.7
2010-11 Limited Threads #121 Milan Hejduk,0,1,0,1,5.18
2010-11 Luxury Suite #81 Milan Hejduk JSY/Matt Duchene JSY,0,1,0,1,5
2010-11 O-Pee-Chee Retro Black Rainbow #238 Milan Hejduk,0,0,0,1,2.4
2010-11 Pinnacle City Lights Materials #66 Milan Hejduk,0,1,0,1,3.2
2010-11 SP Game Used Authentic Fabrics #AFHE Milan Hejduk,0,1,0,0,6
2010-11 SP Game Used Authentic Fabrics Triples #AF3COL Paul Stastny/Milan Hejduk/Matt Duchene,0,1,0,1,18.75
2010-11 SPx Winning Combos #WCHS Milan Hejduk/Paul Stastny,0,1,0,0,5.88
2010-11 SPx Winning Materials #WMHE Milan Hejduk,0,1,0,0,4.76
2010-11 The Cup #70 Milan Hejduk,0,0,0,1,3.6
2010-11 Zenith Winter Warriors Materials #MH Milan Hejduk,0,1,0,0,2.695
2011-12 Artifacts Jerseys #23 Milan Hejduk,0,1,0,1,5.4
2011-12 Artifacts Jerseys Patch Emerald #23 Milan Hejduk,0,1,0,1,10.2
2011-12 Certified Mirror Red #78 Milan Hejduk,0,0,0,1,2.7
2011-12 O-Pee-Chee Black Rainbow #221 Milan Hejduk,0,0,0,1,7.2
2011-12 Panini Titanium Game Worn Gear #45 Milan Hejduk,0,1,0,0,5.2
2011-12 SP Game Used Authentic Fabrics Gold #AFHE1 Milan Hejduk 2 C,0,1,0,0,6
2011-12 SP Game Used Authentic Fabrics Gold #AFHE3 Milan Hejduk H D,0,1,0,0,6
2011-12 SP Game Used Authentic Fabrics Patches #AFHE Milan Hejduk/35,0,1,0,1,15
2011-12 SP Game Used Letter Marks #LMMH Milan Hejduk,0,0,1,1,39.8
2012-13 Artifacts Treasured Swatches Jerseys Blue #TSMH Milan Hejduk C,0,1,0,0,4.8
2012-13 Dominion Patches Autographs #43 Milan Hejduk/60/(inserted in 2013-14 Anthology),0,1,1,1,10
2012-13 Limited #157 Milan Hejduk/199 C,0,0,0,1,3
2012-13 Limited Silver #157 Milan Hejduk C,0,0,0,1,5.095
2012-13 Limited Trophy Winners #TW34 Milan Hejduk,0,0,0,1,5.4
2012-13 Upper Deck Exclusives #42 Milan Hejduk,0,0,0,1,7.2
2013-14 Artifacts Jerseys Patch Emerald #69 Milan Hejduk,0,1,0,1,7.5
2013-14 Artifacts Sapphire #69 Milan Hejduk,0,0,0,1,4.2
2013-14 Crown Royale Silver Chalice Materials #SIMHE Milan Hejduk,0,1,0,0,9
2013-14 Score Team 8s Jerseys #AVS Gabriel Landeskog/Steve Downie/Michael Sgarbossa/Matt Duchene/Calvin Pickard/Jean-Sebastien Giguere/Erik Johnson/Milan Hejduk,0,1,0,0,16.25
1996-97 Donruss Canadian Ice O Canada #1 Joe Sakic,0,0,0,1,13.5
1996-97 Donruss Elite Inserts #7 Joe Sakic,0,0,0,1,3.6
1996-97 Donruss Elite Inserts Gold #7 Joe Sakic,0,0,0,1,9.8
1996-97 Donruss Elite Status #11 Joe Sakic,0,0,0,1,8.4
1996-97 Donruss Go Top Shelf #3 Joe Sakic,0,0,0,1,9
1996-97 Leaf Leather And Laces #1 Joe Sakic,0,0,0,1,11.4
1996-97 Leaf Preferred Steel Power #1 Joe Sakic,0,0,0,1,6
1996-97 Summit High Voltage #2 Joe Sakic,0,0,0,1,6.44
1996-97 Upper Deck Lord Stanley's Heroes Quarterfinals #LS7 Joe Sakic,0,0,0,1,6.25
1997-98 Donruss Canadian Ice National Pride #17 Joe Sakic,0,0,0,1,12.675
1997-98 Donruss Canadian Ice Stanley Cup Scrapbook #3 Joe Sakic Q,0,0,0,1,10
1997-98 Donruss Elite Craftsmen #3 Joe Sakic,0,0,0,1,3.7
1997-98 Donruss Line 2 Line #12 Joe Sakic R,0,0,0,1,8.925
1997-98 Donruss Preferred Line of the Times #8A Joe Sakic,0,0,0,1,13.5
1997-98 Leaf Banner Season #24 Joe Sakic,0,0,0,1,6.6
1997-98 Pinnacle Totally Certified Platinum Blue #50 Joe Sakic,0,0,0,1,8.925
1997-98 Pinnacle Totally Certified Platinum Red #50 Joe Sakic,0,0,0,1,5
1997-98 Studio Hard Hats #17 Joe Sakic,0,0,0,1,9.675
1997-98 Studio Silhouettes #12 Joe Sakic,0,0,0,1,14.25
1997-98 Upper Deck Sixth Sense Masters #SS19 Joe Sakic,0,0,0,1,11.25
1998-99 Black Diamond Myriad #M13 Joe Sakic,0,0,0,1,10.8
1998-99 Pacific Dynagon Ice Adrenaline Rush Bronze #6 Joe Sakic,0,0,0,1,5
1998-99 Pacific Dynagon Ice Adrenaline Rush Red #6 Joe Sakic,0,0,0,1,10
1998-99 Pacific Dynagon Ice Adrenaline Rush Silver #6 Joe Sakic,0,0,0,1,6
1998-99 Revolution Three Pronged Attack Parallel #24 Joe Sakic,0,0,0,1,9
1998-99 SP Authentic Stat Masters #S8 Joe Sakic/900,0,0,0,1,6
1998-99 SPx Finite #22 Joe Sakic,0,0,0,1,2.245
1998-99 SPx Finite #92 Joe Sakic GI,0,0,0,1,3.125
1998-99 SPx Finite #163 Joe Sakic MP,0,0,0,1,6.125
1999-00 BAP Memorabilia Silver #103 Joe Sakic,0,0,0,1,4.05
1999-00 BAP Millennium Ruby #67 Joe Sakic,0,0,0,1,7.125
1999-00 Pacific Prism Holographic Gold #41 Joe Sakic,0,0,0,1,2.34
1999-00 Paramount Holographic Silver #68 Joe Sakic,0,0,0,1,19.875
1999-00 Revolution Red #43 Joe Sakic,0,0,0,1,18
1999-00 SPx Radiance #39 Joe Sakic,0,0,0,1,72
1999-00 Stadium Club One of a Kind #47 Joe Sakic,0,0,0,1,27
2000-01 BAP Memorabilia Ruby #233 Joe Sakic,0,0,0,1,10.8
2000-01 BAP Memorabilia Update Teammates #TM28 Patrick Roy/Joe Sakic,0,1,0,0,72
2000-01 BAP Signature Series He Shoots He Scores Prizes #22 Joe Sakic,0,1,0,0,50
2000-01 BAP Signature Series Ruby #167 Joe Sakic,0,0,0,1,6
2000-01 BAP Signature Series Sapphire #167 Joe Sakic,0,0,0,1,10
