2005-06 Artifacts #176 Scott Gomez AS ,"Gomez, Scott",New Jersey Devils,0,2005,899,0,0,0,0,0,0,1,1.356
2005-06 Artifacts #178 Mark Messier AS ,"Messier, Mark",New York Rangers,0,2005,899,0,0,0,0,0,0,1,2.733333333
2005-06 Artifacts #179 Jaromir Jagr AS ,"Jagr, Jaromir",New York Rangers,0,2005,899,0,0,0,0,0,0,1,5.28
2005-06 Artifacts #181 Mark Parrish AS ,"Parrish, Mark",New York Islanders,0,2005,899,0,0,0,0,0,0,1,0.97
2005-06 Artifacts #182 Dominik Hasek AS ,"Hasek, Dominik",Ottawa Senators,0,2005,899,0,0,0,0,0,0,1,3.48
2005-06 Artifacts #184 Daniel Alfredsson AS ,"Alfredsson, Daniel",Ottawa Senators,0,2005,899,0,0,0,0,0,0,1,1.6525
2005-06 Artifacts #185 Keith Primeau AS ,"Primeau, Keith",Philadelphia Flyers,0,2005,899,0,0,0,0,0,0,1,1.586
2005-06 Artifacts #187 Brett Hull AS ,"Hull, Brett",Phoenix Coyotes,0,2005,899,0,0,0,0,0,0,1,3.3125
2005-06 Artifacts #188 Shane Doan AS ,"Doan, Shane",Phoenix Coyotes,0,2005,899,0,0,0,0,0,0,1,1.625
2005-06 Artifacts #190 Mark Recchi AS ,"Recchi, Mark",Pittsburgh Penguins,0,2005,899,0,0,0,0,0,0,1,2.07
2005-06 Artifacts #191 Evgeni Nabokov AS ,"Nabokov, Evgeni",San Jose Sharks,0,2005,899,0,0,0,0,0,0,1,1.486666667
2005-06 Artifacts #193 Martin St. Louis AS ,"St. Louis, Martin",Tampa Bay Lightning,0,2005,899,0,0,0,0,0,0,1,1.595
2005-06 Artifacts #194 Vincent Lecavalier AS ,"Lecavalier, Vincent",Tampa Bay Lightning,0,2005,899,0,0,0,0,0,0,1,2.175
2005-06 Artifacts #197 Owen Nolan AS ,"Nolan, Owen",Toronto Maple Leafs,0,2005,899,0,0,0,0,0,0,1,1.228571429
2005-06 Artifacts #198 Markus Naslund AS ,"Naslund, Markus",Vancouver Canucks,0,2005,899,0,0,0,0,0,0,1,1.4
2005-06 Artifacts #200 Olaf Kolzig AS ,"Kolzig, Olaf",Washington Capitals,0,2005,899,0,0,0,0,0,0,1,2.036666667
2005-06 Artifacts #202 Braydon Coburn RC ,"Coburn, Braydon",Atlanta Thrashers,0,2005,750,0,0,0,1,0,0,1,5.48
2005-06 Artifacts #206 Cam Ward RC ,"Ward, Cam",Carolina Hurricanes,0,2005,750,0,0,0,1,0,0,1,9.6
2005-06 Artifacts #207 Brent Seabrook RC ,"Seabrook, Brent",Chicago Blackhawks,0,2005,750,0,0,0,1,0,0,1,9.675
2005-06 Artifacts #209 Gilbert Brule RC ,"Brule, Gilbert",Columbus Blue Jackets,0,2005,750,0,0,0,1,0,0,1,5.2
2005-06 Artifacts #212 Brad Winchester RC ,"Winchester, Brad",Edmonton Oilers,0,2005,750,0,0,0,1,0,0,1,6.0875
2005-06 Artifacts #214 George Parros RC ,"Parros, George",Los Angeles Kings,0,2005,750,0,0,0,1,0,0,1,2
2005-06 Artifacts #216 Alexander Perezhogin RC - Serial #'d/750,"Perezhogin, Alexander",Montreal Canadiens,0,2005,750,0,0,0,1,0,0,1,3.26
2005-06 Artifacts #220 Robert Nilsson RC ,"Nilsson, Robert",New York Islanders,0,2005,750,0,0,0,1,0,0,1,4.425
2005-06 Artifacts #226 Jeff Woywitka RC ,"Woywitka, Jeff",St. Louis Blues,0,2005,750,0,0,0,1,0,0,1,3.816666667
2005-06 Artifacts #229 Rob McVicar RC ,"McVicar, Rob",Vancouver Canucks,0,2005,750,0,0,0,1,0,0,1,4.47
2005-06 Artifacts #231 Peter Budaj RC ,"Budaj, Peter",Colorado Avalanche,0,2005,750,0,0,0,1,0,0,1,6.875
2005-06 Artifacts #234 Eric Nystrom RC ,"Nystrom, Eric",Calgary Flames,0,2005,750,0,0,0,1,0,0,1,4.05
2005-06 Artifacts #240 Brandon Bochenski RC ,"Bochenski, Brandon",Ottawa Senators,0,2005,750,0,0,0,1,0,0,1,5.645
2005-06 Artifacts #242 Jim Slater RC ,"Slater, Jim",Atlanta Thrashers,0,2005,750,0,0,0,1,0,0,1,3.446
2005-06 Artifacts #243 Dustin Penner RC ,"Penner, Dustin",Anaheim Ducks,0,2005,750,0,0,0,1,0,0,1,5.735
2005-06 Artifacts #245 Michael Wall RC ,"Wall, Michael",Anaheim Ducks,0,2005,750,0,0,0,1,0,0,1,9.48
2005-06 Artifacts #246 Adam Berkhoel RC ,"Berkhoel, Adam",Atlanta Thrashers,0,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #250 Jordan Sigalet RC ,"Sigalet, Jordan",Boston Bruins,0,2005,750,0,0,0,1,0,0,1,4.066666667
2005-06 Artifacts #251 Nathan Paetsch RC ,"Paetsch, Nathan",Buffalo Sabres,0,2005,750,0,0,0,1,0,0,1,5.1
2005-06 Artifacts #253 Daniel Paille RC ,"Paille, Daniel",Buffalo Sabres,0,2005,750,0,0,0,1,0,0,1,6.975
2005-06 Artifacts #255 Niklas Nordgren RC ,"Nordgren, Niklas",Pittsburgh Penguins,0,2005,750,0,0,0,1,0,0,1,6.975
2005-06 Artifacts #264 Brad Richardson RC ,"Richardson, Brad",Colorado Avalanche,0,2005,750,0,0,0,1,0,0,1,5.9875
2005-06 Artifacts #265 Vitaly Kolesnik RC ,"Kolesnik, Vitaly",Colorado Avalanche,0,2005,750,0,0,0,1,0,0,1,5.08
2005-06 Artifacts #268 Steven Goertzen RC ,"Goertzen, Steven",Columbus Blue Jackets,0,2005,750,0,0,0,1,0,0,1,4.066666667
2005-06 Artifacts #269 Geoff Platt RC ,"Platt, Geoff",Columbus Blue Jackets,0,2005,750,0,0,0,1,0,0,1,5.82
2005-06 Artifacts #271 Junior Lessard RC ,"Lessard, Junior",Dallas Stars,0,2005,750,0,0,0,1,0,0,1,3.975
2005-06 Artifacts #272 Vojtech Polak RC ,"Polak, Vojtech",Dallas Stars,0,2005,750,0,0,0,1,0,0,1,3.8625
2005-06 Artifacts #277 Kyle Brodziak RC ,"Brodziak, Kyle",Edmonton Oilers,0,2005,750,0,0,0,1,0,0,1,4.316666667
2005-06 Artifacts #279 Matt Greene RC ,"Greene, Matt DEF",Edmonton Oilers,0,2005,750,0,0,0,1,0,0,1,3.4875
2005-06 Artifacts #281 Greg Jacina RC ,"Jacina, Greg",Florida Panthers,0,2005,750,0,0,0,1,0,0,1,7.65
2005-06 Artifacts #282 Petr Taticek RC ,"Taticek, Petr",Pittsburgh Penguins,0,2005,750,0,0,0,1,0,0,1,5.18
2005-06 Artifacts #284 Jeff Tambellini RC ,"Tambellini, Jeff",New York Islanders,0,2005,750,0,0,0,1,0,0,1,4.475
2005-06 Artifacts #285 Petr Kanko RC ,"Kanko, Petr",Los Angeles Kings,0,2005,750,0,0,0,1,0,0,1,8.98
2005-06 Artifacts #288 Derek Boogaard RC ,"Boogaard, Derek",Minnesota Wild,0,2005,750,0,0,0,1,0,0,1,9.983333333
2005-06 Artifacts #289 Jonathan Ferland RC ,"Ferland, Jonathan",Montreal Canadiens,0,2005,750,0,0,0,1,0,0,1,12
2005-06 Artifacts #294 Kevin Klein RC ,"Klein, Kevin",Nashville Predators,0,2005,750,0,0,0,1,0,0,1,10.5
2005-06 Artifacts #295 Pekka Rinne RC ,"Rinne, Pekka",Nashville Predators,0,2005,750,0,0,0,1,0,0,1,11.665
2005-06 Artifacts #300 Chris Campoli RC ,"Campoli, Chris",New York Islanders,0,2005,750,0,0,0,1,0,0,1,4.483333333
2005-06 Artifacts #301 Bruno Gervais RC ,"Gervais, Bruno",New York Islanders,0,2005,750,0,0,0,1,0,0,1,4.5
2005-06 Artifacts #304 Al Montoya RC ,"Montoya, Al",New York Rangers,0,2005,750,0,0,0,1,0,0,1,7
2005-06 Artifacts #305 Brian McGrattan RC ,"McGrattan, Brian",Ottawa Senators,0,2005,750,0,0,0,1,0,0,1,10.5
2005-06 Artifacts #308 Stefan Ruzicka RC ,"Ruzicka, Stefan",Philadelphia Flyers,0,2005,750,0,0,0,1,0,0,1,6.9875
2005-06 Artifacts #310 Alexandre Picard RC ,"Picard, Alexandre (DEF)",Philadelphia Flyers,0,2005,750,0,0,0,1,0,0,1,4.5
2005-06 Artifacts #315 Ryan Whitney RC ,"Whitney, Ryan",Pittsburgh Penguins,0,2005,750,0,0,0,1,0,0,1,5.733333333
2005-06 Artifacts #316 Colby Armstrong RC ,"Armstrong, Colby",Pittsburgh Penguins,0,2005,750,0,0,0,1,0,0,1,7.316666667
2005-06 Artifacts #318 Dimitri Patzold RC ,"Patzold, Dimitri",San Jose Sharks,0,2005,750,0,0,0,1,0,0,1,4.475
2005-06 Artifacts #319 Steve Bernier RC ,"Bernier, Steve",San Jose Sharks,0,2005,750,0,0,0,1,0,0,1,6.25
2005-06 Artifacts #321 Doug Murrray RC ,"Murray, Doug",San Jose Sharks,0,2005,750,0,0,0,1,0,0,1,3.733333333
2005-06 Artifacts #322 Jay McClement RC ,"McClement, Jay",St. Louis Blues,0,2005,750,0,0,0,1,0,0,1,4.333333333
2005-06 Artifacts #325 Dennis Wideman RC ,"Wideman, Dennis",St. Louis Blues,0,2005,750,0,0,0,1,0,0,1,3.5
2005-06 Artifacts #326 Lee Stempniak RC ,"Stempniak, Lee",St. Louis Blues,0,2005,750,0,0,0,1,0,0,1,6.7875
2005-06 Artifacts #328 Gerald Coleman RC ,"Coleman, Gerald",Tampa Bay Lightning,0,2005,750,0,0,0,1,0,0,1,3.4875
2005-06 Artifacts #331 Darren Reid RC ,"Reid, Darren",Tampa Bay Lightning,0,2005,750,0,0,0,1,0,0,1,4
2005-06 Artifacts #334 Staffan Kronwall RC ,"Kronwall, Staffan",Toronto Maple Leafs,0,2005,750,0,0,0,1,0,0,1,6.14
2005-06 Artifacts #335 Jay Harrison RC ,"Harrison, Jay",Toronto Maple Leafs,0,2005,750,0,0,0,1,0,0,1,5.1
2005-06 Artifacts #337 Rick Rypien RC ,"Rypien, Rick",Vancouver Canucks,0,2005,750,0,0,0,1,0,0,1,9.375
2005-06 Artifacts #338 Rob McVicar ,"McVicar, Rob",Vancouver Canucks,0,2005,750,0,0,0,0,0,0,1,9.48
2005-06 Artifacts #341 Jakub Klepis RC ,"Klepis, Jakub",Washington Capitals,0,2005,750,0,0,0,1,0,0,1,4.375
2005-06 Artifacts #104 Mike Bossy AL ,"Bossy, Mike HK",New York Islanders,0,2005,899,0,0,0,0,0,0,1,0.75
2005-06 Artifacts #106 Scotty Bowman AL ,"Bowman, Scotty",Detroit Red Wings,0,2005,899,0,0,0,0,0,0,1,1.48
2005-06 Artifacts #115 Phil Esposito AL ,"Esposito, Phil",Boston Bruins,0,2005,899,0,0,0,0,0,0,1,4.8
2005-06 Artifacts #121 Glenn Hall AL ,"Hall, Glenn",Chicago Blackhawks,0,2005,899,0,0,0,0,0,0,1,1.85
2005-06 Artifacts #127 Guy LaFleur AL ,"Lafleur, Guy",Montreal Canadiens,0,2005,899,0,0,0,0,0,0,1,2.25
2005-06 Artifacts #135 Dickie Moore AL ,"Moore, Dickie",Montreal Canadiens,0,2005,899,0,0,0,0,0,0,1,1.12
2005-06 Artifacts #174 Tomas Vokoun AS ,"Vokoun, Tomas",Nashville Predators,0,2005,899,0,0,0,0,0,0,1,2
2005-06 Artifacts #201 Corey Perry RC ROOKIE,"Perry, Corey",Anaheim Ducks,0,2005,750,0,0,0,1,0,0,1,4.83
2005-06 Artifacts #205 Dion Phaneuf RC ROOKIE,"Phaneuf, Dion",Calgary Flames,0,2005,750,0,0,0,1,0,0,1,3.86
2005-06 Artifacts #211 Jim Howard RC ,"Howard, Jimmy (Jim)",Detroit Red Wings,0,2005,750,0,0,0,1,0,0,1,8
2005-06 Artifacts #218 Zach Parise RC ,"Parise, Zach",New Jersey Devils,0,2005,750,0,0,0,1,0,0,1,24
2005-06 Artifacts #221 Andrej Meszaros RC ROOKIE,"Meszaros, Andrej",Ottawa Senators,0,2005,750,0,0,0,1,0,0,1,1.93
2005-06 Artifacts #236 Kevin Nastiuk RC ,"Nastiuk, Kevin",Carolina Hurricanes,0,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #247 Andrew Alberts RC ,"Alberts, Andrew",Boston Bruins,0,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #256 Andrew Ladd RC ,"Ladd, Andrew",Carolina Hurricanes,0,2005,750,0,0,0,1,0,0,1,4
2005-06 Artifacts #258 Danny Richmond RC - Serial #'d/750,"Richmond, Danny",Chicago Blackhawks,0,2005,750,0,0,0,1,0,0,1,2.95
2005-06 Artifacts #262 Corey Crawford RC - Serial #'d/750,"Crawford, Corey",Chicago Blackhawks,0,2005,750,0,0,0,1,0,0,1,14.88
2005-06 Artifacts #267 Ole-Kristian Tollefsen RC - Serial #'d/750,"Tollefsen, Ole-Kristian",Columbus Blue Jackets,0,2005,750,0,0,0,1,0,0,1,4.44
2005-06 Artifacts #276 Danny Syvret RC ,"Syvret, Danny",Edmonton Oilers,0,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #286 Richard Petiot RC ,"Petiot, Richard",Los Angeles Kings,0,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #299 Jeremy Colliton RC ,"Colliton, Jeremy",New York Islanders,0,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #309 Ben Eager RC - Serial #'d/750,"Eager, Ben",Philadelphia Flyers,0,2005,750,0,0,0,1,0,0,1,4.46
2005-06 Artifacts #313 Maxime Talbot RC - Serial #'d/750,"Talbot, Maxime (Max)",Pittsburgh Penguins,0,2005,750,0,0,0,1,0,0,1,6.36
2005-06 Artifacts #323 Jeff Hoggan RC ,"Hoggan, Jeff",St. Louis Blues,0,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #330 Paul Ranger RC ,"Ranger, Paul",Tampa Bay Lightning,0,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts Autofacts #AFAF Alexander Frolov - Autograph Card Serial #056/100,"Frolov, Alexander",Los Angeles Kings,0,2005,100,0,0,0,0,0,1,1,11.85
2005-06 Artifacts Autofacts #AFGL Georges Laraque @WHS #d/100,"Laraque, Georges",Edmonton Oilers,0,2005,100,0,0,0,0,0,1,1,5.5
2005-06 Artifacts Autofacts #AFIK Ilya Kovalchuk ,"Kovalchuk, Ilya",Atlanta Thrashers,0,2005,100,0,0,0,0,0,1,1,62.5
2005-06 Artifacts Autofacts #AFJW Justin Williams ,"Williams, Justin",Carolina Hurricanes,0,2005,100,0,0,0,0,0,1,1,3.22
2005-06 Artifacts Autofacts #AFSG Simon Gagne ,"Gagne, Simon",Philadelphia Flyers,0,2005,100,0,0,0,0,0,1,1,10
2005-06 Artifacts Autofacts #AFTC Ty Conklin ,"Conklin, Ty",Edmonton Oilers,0,2005,100,0,0,0,0,0,1,1,3.22
