1996-97 Summit In The Crease #1 Patrick Roy,Patrick Roy,Colorado Avalanche,0,0,0,1,11.25
1996-97 Upper Deck Lord Stanleys Heroes Quarterfinals #LS6 Patrick Roy,Patrick Roy,Colorado Avalanche,0,0,0,1,10.125
1996-97 Upper Deck Lord Stanleys Heroes Quarterfinals #LS7 Joe Sakic,Joe Sakic,Colorado Avalanche,0,0,0,1,6.25
1996-97 Upper Deck Lord Stanleys Heroes Quarterfinals #LS8 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,5.4
1996-97 Upper Deck Lord Stanleys Heroes Semifinals #LS8 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,20
1997-98 Be A Player #204 Eric Messier RC,Eric Messier,Colorado Avalanche,1,0,0,0,0.57
1997-98 Be A Player Autographs #52 Adam Deadmarsh,Adam Deadmarsh,Colorado Avalanche,0,0,1,0,3.95
1997-98 Be A Player Autographs #75 Aaron Miller,Aaron Miller,Colorado Avalanche,0,0,1,0,3.1
1997-98 Be A Player Autographs #115 Sandis Ozolinsh,Sandis Ozolinsh,Colorado Avalanche,0,0,1,0,4.47
1997-98 Be A Player Autographs #138 Craig Billington,Craig Billington,Colorado Avalanche,0,0,1,0,3.5
1997-98 Be A Player Autographs #196 Alexei Gusarov,Alexei Gusarov,Colorado Avalanche,0,0,1,0,3
1997-98 Be A Player Autographs #205 Rene Corbet,Rene Corbet,Colorado Avalanche,0,0,1,0,3.575
1997-98 Be A Player Autographs Die Cut #205 Rene Corbet,Rene Corbet,Colorado Avalanche,0,0,1,0,4
1997-98 Black Diamond #13 Eric Messier RC,Eric Messier,Colorado Avalanche,1,0,0,0,0.75
1997-98 Donruss #207 Christian Matte RC,Christian Matte,Colorado Avalanche,1,0,0,0,0.5
1997-98 Donruss #222 Wade Belak RC,Wade Belak,Colorado Avalanche,1,0,0,0,0.5
1997-98 Donruss Between the Pipes #1 Patrick Roy,Patrick Roy,Colorado Avalanche,0,0,0,1,7.475
1997-98 Donruss Canadian Ice #137 Christian Matte RC,Christian Matte,Colorado Avalanche,1,0,0,0,0.625
1997-98 Donruss Canadian Ice Dominion Series #6 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,22.5
1997-98 Donruss Canadian Ice Dominion Series #82 Valeri Kamensky,Valeri Kamensky,Colorado Avalanche,0,0,0,1,3.5
1997-98 Donruss Canadian Ice Dominion Series #119 Sandis Ozolinsh,Sandis Ozolinsh,Colorado Avalanche,0,0,0,1,1.8
1997-98 Donruss Canadian Ice Dominion Series #137 Christian Matto,Christian Matto,Colorado Avalanche,0,0,0,1,1.4
1997-98 Donruss Canadian Ice Les Gardiens #1 Patrick Roy,Patrick Roy,Colorado Avalanche,0,0,0,1,21
1997-98 Donruss Canadian Ice Les Gardiens #12 Marc Denis,Marc Denis,Colorado Avalanche,0,0,0,1,4.95
1997-98 Donruss Canadian Ice National Pride #17 Joe Sakic,Joe Sakic,Colorado Avalanche,0,0,0,1,12.675
1997-98 Donruss Canadian Ice Provincial Series #1 Patrick Roy,Patrick Roy,Colorado Avalanche,0,0,0,1,27
1997-98 Donruss Canadian Ice Provincial Series #6 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,12.075
1997-98 Donruss Canadian Ice Provincial Series #82 Valeri Kamensky,Valeri Kamensky,Colorado Avalanche,0,0,0,1,1.5
1997-98 Donruss Canadian Ice Provincial Series #126 Adam Deadmarsh,Adam Deadmarsh,Colorado Avalanche,0,0,0,1,0.88
1997-98 Donruss Canadian Ice Provincial Series #137 Christian Matte,Christian Matte,Colorado Avalanche,0,0,0,1,0.88
1997-98 Donruss Canadian Ice Provincial Series #145 Marc Denis,Marc Denis,Colorado Avalanche,0,0,0,1,1.98
1997-98 Donruss Canadian Ice Stanley Cup Scrapbook #3 Joe Sakic Q,Joe Sakic,Colorado Avalanche,0,0,0,1,10
1997-98 Donruss Canadian Ice Stanley Cup Scrapbook #18 Peter Forsberg CS,Peter Forsberg,Colorado Avalanche,0,0,0,1,20
1997-98 Donruss Elite Back to the Future #2 Jocelyn Thibault/Marc Denis,"Jocelyn Thibault, Marc Denis", Multiple Teams            ,0,0,0,1,3.45
1997-98 Donruss Elite Back to the Future #5 Sergei Fedorov/Peter Forsberg,"Sergei Fedorov, Peter Forsberg", Multiple Teams            ,0,0,0,1,10.8
1997-98 Donruss Elite Craftsmen #3 Joe Sakic,Joe Sakic,Colorado Avalanche,0,0,0,1,3.7
1997-98 Donruss Elite Craftsmen #14 Patrick Roy,Patrick Roy,Colorado Avalanche,0,0,0,1,11.5
1997-98 Donruss Elite Craftsmen #23 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,6.75
1997-98 Donruss Elite Inserts #7 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,6.8
1997-98 Donruss Limited #2 Peter Forsberg/Michael Knuble C RC,"Peter Forsberg, Michael Knuble", Multiple Teams            ,1,0,0,0,0.89
1997-98 Donruss Limited Fabric of the Game #47 Marc Denis M,Marc Denis,Colorado Avalanche,0,0,0,1,1.565
1997-98 Donruss Line 2 Line #4 Peter Forsberg R,Peter Forsberg,Colorado Avalanche,0,0,0,1,4.29
1997-98 Donruss Line 2 Line #12 Joe Sakic R,Joe Sakic,Colorado Avalanche,0,0,0,1,8.925
1997-98 Donruss Line 2 Line #24 Sandis Ozolinsh B,Sandis Ozolinsh,Colorado Avalanche,0,0,0,1,2.7
1997-98 Donruss Preferred Line of the Times #7B Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,25
1997-98 Donruss Preferred Line of the Times #8A Joe Sakic,Joe Sakic,Colorado Avalanche,0,0,0,1,13.5
1997-98 Donruss Priority Postmaster Generals #1 Patrick Roy,Patrick Roy,Colorado Avalanche,0,0,0,1,21.375
1997-98 Donruss Priority Postmaster Generals #18 Marc Denis,Marc Denis,Colorado Avalanche,0,0,0,1,1.47
1997-98 Donruss Priority Stamp of Approval #163 Adam Deadmarsh,Adam Deadmarsh,Colorado Avalanche,0,0,0,1,9.9
1997-98 Donruss Red Alert #1 Adam Deadmarsh,Adam Deadmarsh,Colorado Avalanche,0,0,0,1,4.125
1997-98 Leaf Banner Season #13 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,6.915
1997-98 Leaf Banner Season #24 Joe Sakic,Joe Sakic,Colorado Avalanche,0,0,0,1,6.6
1997-98 Leaf Fire On Ice #12 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,7.5
1997-98 Leaf International Universal Ice #3 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,13.5
1997-98 Leaf Pipe Dreams #3 Patrick Roy,Patrick Roy,Colorado Avalanche,0,0,0,1,21
1997-98 Pinnacle Certified Gold Team #10 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,16
1997-98 Pinnacle Totally Certified Platinum Blue #2 Patrick Roy,Patrick Roy,Colorado Avalanche,0,0,0,1,12
1997-98 Pinnacle Totally Certified Platinum Blue #32 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,14
1997-98 Pinnacle Totally Certified Platinum Blue #50 Joe Sakic,Joe Sakic,Colorado Avalanche,0,0,0,1,8.925
1997-98 Pinnacle Totally Certified Platinum Blue #67 Valeri Kamensky,Valeri Kamensky,Colorado Avalanche,0,0,0,1,4.2
1997-98 Pinnacle Totally Certified Platinum Blue #89 Sandis Ozolinsh,Sandis Ozolinsh,Colorado Avalanche,0,0,0,1,2.6
1997-98 Pinnacle Totally Certified Platinum Blue #112 Adam Deadmarsh,Adam Deadmarsh,Colorado Avalanche,0,0,0,1,2.6
1997-98 Pinnacle Totally Certified Platinum Blue #129 Claude Lemieux,Claude Lemieux,Colorado Avalanche,0,0,0,1,2.8
1997-98 Pinnacle Totally Certified Platinum Red #2 Patrick Roy,Patrick Roy,Colorado Avalanche,0,0,0,1,18.75
1997-98 Pinnacle Totally Certified Platinum Red #32 Peter Forsberg,Peter Forsberg,Colorado Avalanche,0,0,0,1,6.5
1997-98 Pinnacle Totally Certified Platinum Red #50 Joe Sakic,Joe Sakic,Colorado Avalanche,0,0,0,1,5
1997-98 Pinnacle Totally Certified Platinum Red #67 Valeri Kamensky,Valeri Kamensky,Colorado Avalanche,0,0,0,1,1.95
