Title,Name,Team,Name Trend,Team Trend,Year,Print Run,Patch,Jsy,Sticker,Rookie,Memorbilia,Autographed,Serial Number,Cost
2005-06 Artifacts #182 Dominik Hasek AS , Dominik Hasek,Ottawa Senators,1705,1322,2005,899,0,0,0,0,0,0,1,3.48
2005-06 Artifacts #184 Daniel Alfredsson AS , Daniel Alfredsson,Ottawa Senators,1238,1322,2005,899,0,0,0,0,0,0,1,1.6525
2005-06 Artifacts #185 Keith Primeau AS , Keith Primeau,Philadelphia Flyers,764,1906,2005,899,0,0,0,0,0,0,1,1.586
2005-06 Artifacts #187 Brett Hull AS , Brett Hull,Phoenix Coyotes,394,2100,2005,899,0,0,0,0,0,0,1,3.3125
2005-06 Artifacts #188 Shane Doan AS , Shane Doan,Phoenix Coyotes,390,2100,2005,899,0,0,0,0,0,0,1,1.625
2005-06 Artifacts #190 Mark Recchi AS , Mark Recchi,Pittsburgh Penguins,1960,1838,2005,899,0,0,0,0,0,0,1,2.07
2005-06 Artifacts #191 Evgeni Nabokov AS , Evgeni Nabokov,San Jose Sharks,1360,867,2005,899,0,0,0,0,0,0,1,1.486666667
2005-06 Artifacts #193 Martin St. Louis AS , Martin St. Louis,Tampa Bay Lightning,1268,674,2005,899,0,0,0,0,0,0,1,1.595
2005-06 Artifacts #194 Vincent Lecavalier AS , Vincent Lecavalier,Tampa Bay Lightning,1455,674,2005,899,0,0,0,0,0,0,1,2.175
2005-06 Artifacts #197 Owen Nolan AS , Owen Nolan,Toronto Maple Leafs,1476,1127,2005,899,0,0,0,0,0,0,1,1.228571429
2005-06 Artifacts #198 Markus Naslund AS , Markus Naslund,Vancouver Canucks,1375,2597,2005,899,0,0,0,0,0,0,1,1.4
2005-06 Artifacts #200 Olaf Kolzig AS , Olaf Kolzig,Washington Capitals,1124,687,2005,899,0,0,0,0,0,0,1,2.036666667
2005-06 Artifacts #202 Braydon Coburn RC , Braydon Coburn,Atlanta Thrashers,1393,1964,2005,750,0,0,0,1,0,0,1,5.48
2005-06 Artifacts #206 Cam Ward RC , Cam Ward,Carolina Hurricanes,736,796,2005,750,0,0,0,1,0,0,1,9.6
2005-06 Artifacts #207 Brent Seabrook RC , Brent Seabrook,Chicago Blackhawks,764,2291,2005,750,0,0,0,1,0,0,1,9.675
2005-06 Artifacts #209 Gilbert Brule RC , Gilbert Brule,Columbus Blue Jackets,477,605,2005,750,0,0,0,1,0,0,1,5.2
2005-06 Artifacts #212 Brad Winchester RC , Brad Winchester,Edmonton Oilers,858,2477,2005,750,0,0,0,1,0,0,1,6.0875
2005-06 Artifacts #214 George Parros RC , George Parros,Los Angeles Kings,1551,2501,2005,750,0,0,0,1,0,0,1,2
2005-06 Artifacts #216 Alexander Perezhogin RC - Serial #'d/750, Alexander Perezhogin,Montreal Canadiens,100,2057,2005,750,0,0,0,1,0,0,1,3.26
2005-06 Artifacts #220 Robert Nilsson RC , Robert Nilsson,New York Islanders,284,1697,2005,750,0,0,0,1,0,0,1,4.425
2005-06 Artifacts #226 Jeff Woywitka RC , Jeff Woywitka,St. Louis Blues,100,777,2005,750,0,0,0,1,0,0,1,3.816666667
2005-06 Artifacts #229 Rob McVicar RC , Rob McVicar,Vancouver Canucks,0,2597,2005,750,0,0,0,1,0,0,1,4.47
2005-06 Artifacts #231 Peter Budaj RC , Peter Budaj,Colorado Avalanche,1327,1163,2005,750,0,0,0,1,0,0,1,6.875
2005-06 Artifacts #234 Eric Nystrom RC , Eric Nystrom,Calgary Flames,1038,730,2005,750,0,0,0,1,0,0,1,4.05
2005-06 Artifacts #240 Brandon Bochenski RC , Brandon Bochenski,Ottawa Senators,1283,1322,2005,750,0,0,0,1,0,0,1,5.645
2005-06 Artifacts #242 Jim Slater RC , Jim Slater,Atlanta Thrashers,818,1964,2005,750,0,0,0,1,0,0,1,3.446
2005-06 Artifacts #243 Dustin Penner RC , Dustin Penner,Anaheim Ducks,300,2544,2005,750,0,0,0,1,0,0,1,5.735
2005-06 Artifacts #245 Michael Wall RC , Michael Wall,Anaheim Ducks,380,2544,2005,750,0,0,0,1,0,0,1,9.48
2005-06 Artifacts #246 Adam Berkhoel RC , Adam Berkhoel,Atlanta Thrashers,0,1964,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #250 Jordan Sigalet RC , Jordan Sigalet,Boston Bruins,391,1076,2005,750,0,0,0,1,0,0,1,4.066666667
2005-06 Artifacts #251 Nathan Paetsch RC , Nathan Paetsch,Buffalo Sabres,1230,2180,2005,750,0,0,0,1,0,0,1,5.1
2005-06 Artifacts #253 Daniel Paille RC , Daniel Paille,Buffalo Sabres,889,2180,2005,750,0,0,0,1,0,0,1,6.975
2005-06 Artifacts #255 Niklas Nordgren RC , Niklas Nordgren,Pittsburgh Penguins,180,1838,2005,750,0,0,0,1,0,0,1,6.975
2005-06 Artifacts #264 Brad Richardson RC , Brad Richardson,Colorado Avalanche,699,1163,2005,750,0,0,0,1,0,0,1,5.9875
2005-06 Artifacts #265 Vitaly Kolesnik RC , Vitaly Kolesnik,Colorado Avalanche,0,1163,2005,750,0,0,0,1,0,0,1,5.08
2005-06 Artifacts #268 Steven Goertzen RC , Steven Goertzen,Columbus Blue Jackets,0,605,2005,750,0,0,0,1,0,0,1,4.066666667
2005-06 Artifacts #269 Geoff Platt RC , Geoff Platt,Columbus Blue Jackets,199,605,2005,750,0,0,0,1,0,0,1,5.82
2005-06 Artifacts #271 Junior Lessard RC , Junior Lessard,Dallas Stars,100,823,2005,750,0,0,0,1,0,0,1,3.975
2005-06 Artifacts #272 Vojtech Polak RC , Vojtech Polak,Dallas Stars,0,823,2005,750,0,0,0,1,0,0,1,3.8625
2005-06 Artifacts #277 Kyle Brodziak RC , Kyle Brodziak,Edmonton Oilers,1162,2477,2005,750,0,0,0,1,0,0,1,4.316666667
2005-06 Artifacts #279 Matt Greene RC , Matt DEF Greene,Edmonton Oilers,0,2477,2005,750,0,0,0,1,0,0,1,3.4875
2005-06 Artifacts #281 Greg Jacina RC , Greg Jacina,Florida Panthers,0,2613,2005,750,0,0,0,1,0,0,1,7.65
2005-06 Artifacts #282 Petr Taticek RC , Petr Taticek,Pittsburgh Penguins,0,1838,2005,750,0,0,0,1,0,0,1,5.18
2005-06 Artifacts #284 Jeff Tambellini RC , Jeff Tambellini,New York Islanders,692,1697,2005,750,0,0,0,1,0,0,1,4.475
2005-06 Artifacts #285 Petr Kanko RC , Petr Kanko,Los Angeles Kings,0,2501,2005,750,0,0,0,1,0,0,1,8.98
2005-06 Artifacts #288 Derek Boogaard RC , Derek Boogaard,Minnesota Wild,842,2085,2005,750,0,0,0,1,0,0,1,9.983333333
2005-06 Artifacts #289 Jonathan Ferland RC , Jonathan Ferland,Montreal Canadiens,0,2057,2005,750,0,0,0,1,0,0,1,12
2005-06 Artifacts #294 Kevin Klein RC , Kevin Klein,Nashville Predators,817,1131,2005,750,0,0,0,1,0,0,1,10.5
2005-06 Artifacts #295 Pekka Rinne RC , Pekka Rinne,Nashville Predators,1322,1131,2005,750,0,0,0,1,0,0,1,11.665
2005-06 Artifacts #300 Chris Campoli RC , Chris Campoli,New York Islanders,377,1697,2005,750,0,0,0,1,0,0,1,4.483333333
2005-06 Artifacts #301 Bruno Gervais RC , Bruno Gervais,New York Islanders,918,1697,2005,750,0,0,0,1,0,0,1,4.5
2005-06 Artifacts #304 Al Montoya RC , Al Montoya,New York Rangers,952,2592,2005,750,0,0,0,1,0,0,1,7
2005-06 Artifacts #305 Brian McGrattan RC , Brian McGrattan,Ottawa Senators,988,1322,2005,750,0,0,0,1,0,0,1,10.5
2005-06 Artifacts #308 Stefan Ruzicka RC , Stefan Ruzicka,Philadelphia Flyers,0,1906,2005,750,0,0,0,1,0,0,1,6.9875
2005-06 Artifacts #310 Alexandre Picard RC , Alexandre (DEF) Picard,Philadelphia Flyers,0,1906,2005,750,0,0,0,1,0,0,1,4.5
2005-06 Artifacts #315 Ryan Whitney RC , Ryan Whitney,Pittsburgh Penguins,1519,1838,2005,750,0,0,0,1,0,0,1,5.733333333
2005-06 Artifacts #316 Colby Armstrong RC , Colby Armstrong,Pittsburgh Penguins,1390,1838,2005,750,0,0,0,1,0,0,1,7.316666667
2005-06 Artifacts #318 Dimitri Patzold RC , Dimitri Patzold,San Jose Sharks,0,867,2005,750,0,0,0,1,0,0,1,4.475
2005-06 Artifacts #319 Steve Bernier RC , Steve Bernier,San Jose Sharks,1501,867,2005,750,0,0,0,1,0,0,1,6.25
2005-06 Artifacts #321 Doug Murrray RC , Doug Murray,San Jose Sharks,508,867,2005,750,0,0,0,1,0,0,1,3.733333333
2005-06 Artifacts #322 Jay McClement RC , Jay McClement,St. Louis Blues,0,777,2005,750,0,0,0,1,0,0,1,4.333333333
2005-06 Artifacts #325 Dennis Wideman RC , Dennis Wideman,St. Louis Blues,998,777,2005,750,0,0,0,1,0,0,1,3.5
2005-06 Artifacts #326 Lee Stempniak RC , Lee Stempniak,St. Louis Blues,357,777,2005,750,0,0,0,1,0,0,1,6.7875
2005-06 Artifacts #328 Gerald Coleman RC , Gerald Coleman,Tampa Bay Lightning,584,674,2005,750,0,0,0,1,0,0,1,3.4875
2005-06 Artifacts #331 Darren Reid RC , Darren Reid,Tampa Bay Lightning,490,674,2005,750,0,0,0,1,0,0,1,4
2005-06 Artifacts #334 Staffan Kronwall RC , Staffan Kronwall,Toronto Maple Leafs,100,1127,2005,750,0,0,0,1,0,0,1,6.14
2005-06 Artifacts #335 Jay Harrison RC , Jay Harrison,Toronto Maple Leafs,1011,1127,2005,750,0,0,0,1,0,0,1,5.1
2005-06 Artifacts #337 Rick Rypien RC , Rick Rypien,Vancouver Canucks,1174,2597,2005,750,0,0,0,1,0,0,1,9.375
2005-06 Artifacts #338 Rob McVicar , Rob McVicar,Vancouver Canucks,0,2597,2005,750,0,0,0,0,0,0,1,9.48
2005-06 Artifacts #341 Jakub Klepis RC , Jakub Klepis,Washington Capitals,0,687,2005,750,0,0,0,1,0,0,1,4.375
2005-06 Artifacts #104 Mike Bossy AL , Mike HK Bossy,New York Islanders,0,1697,2005,899,0,0,0,0,0,0,1,0.75
2005-06 Artifacts #106 Scotty Bowman AL , Scotty Bowman,Detroit Red Wings,1667,1931,2005,899,0,0,0,0,0,0,1,1.48
2005-06 Artifacts #115 Phil Esposito AL , Phil Esposito,Boston Bruins,1812,1076,2005,899,0,0,0,0,0,0,1,4.8
2005-06 Artifacts #121 Glenn Hall AL , Glenn Hall,Chicago Blackhawks,1314,2291,2005,899,0,0,0,0,0,0,1,1.85
2005-06 Artifacts #127 Guy LaFleur AL , Guy Lafleur,Montreal Canadiens,951,2057,2005,899,0,0,0,0,0,0,1,2.25
2005-06 Artifacts #135 Dickie Moore AL , Dickie Moore,Montreal Canadiens,1321,2057,2005,899,0,0,0,0,0,0,1,1.12
2005-06 Artifacts #174 Tomas Vokoun AS , Tomas Vokoun,Nashville Predators,1123,1131,2005,899,0,0,0,0,0,0,1,2
2005-06 Artifacts #201 Corey Perry RC ROOKIE, Corey Perry,Anaheim Ducks,438,2544,2005,750,0,0,0,1,0,0,1,4.83
2005-06 Artifacts #205 Dion Phaneuf RC ROOKIE, Dion Phaneuf,Calgary Flames,924,730,2005,750,0,0,0,1,0,0,1,3.86
2005-06 Artifacts #211 Jim Howard RC , Jimmy (Jim) Howard,Detroit Red Wings,0,1931,2005,750,0,0,0,1,0,0,1,8
2005-06 Artifacts #218 Zach Parise RC , Zach Parise,New Jersey Devils,1402,2499,2005,750,0,0,0,1,0,0,1,24
2005-06 Artifacts #221 Andrej Meszaros RC ROOKIE, Andrej Meszaros,Ottawa Senators,191,1322,2005,750,0,0,0,1,0,0,1,1.93
2005-06 Artifacts #236 Kevin Nastiuk RC , Kevin Nastiuk,Carolina Hurricanes,0,796,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #247 Andrew Alberts RC , Andrew Alberts,Boston Bruins,1566,1076,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #256 Andrew Ladd RC , Andrew Ladd,Carolina Hurricanes,995,796,2005,750,0,0,0,1,0,0,1,4
2005-06 Artifacts #258 Danny Richmond RC - Serial #'d/750, Danny Richmond,Chicago Blackhawks,467,2291,2005,750,0,0,0,1,0,0,1,2.95
2005-06 Artifacts #262 Corey Crawford RC - Serial #'d/750, Corey Crawford,Chicago Blackhawks,628,2291,2005,750,0,0,0,1,0,0,1,14.88
